,New_ID,ID,COUNTY
297,408,451,Interchange
298,409,453,Interchange
299,410,455,Interchange
300,411,457,Interchange
301,412,458,Interchange
302,413,460,Interchange
303,414,461,Interchange
304,415,463,Interchange
305,416,464,Interchange
306,417,466,Interchange
307,418,468,Interchange
308,419,469,Interchange
309,420,472,Interchange
310,421,473,Interchange
311,422,475,Interchange
312,423,476,Interchange
313,424,478,Interchange
314,425,480,Interchange
315,426,481,Interchange
316,427,483,Interchange
317,428,484,Interchange
318,429,486,Interchange
319,430,488,Interchange
320,431,489,Interchange
321,432,491,Interchange
322,433,493,Interchange
323,434,494,Interchange
324,435,496,Interchange
325,436,498,Interchange
326,437,500,Interchange
327,438,502,Interchange
328,439,503,Interchange
329,440,505,Interchange
330,441,507,Interchange
331,442,508,Interchange
332,443,510,Interchange
333,444,511,Interchange
334,445,513,Interchange
335,446,514,Interchange
336,447,516,Interchange
337,448,518,Interchange
338,449,519,Interchange
339,450,521,Interchange
340,451,523,Interchange
341,452,525,Interchange
342,453,526,Interchange
343,454,528,Interchange
344,455,529,Interchange
345,456,531,Interchange
346,457,533,Interchange
347,458,535,Interchange
348,459,536,Interchange
349,460,538,Interchange
350,461,540,Interchange
351,462,542,Interchange
352,463,543,Interchange
353,464,545,Interchange
354,465,547,Interchange
355,466,549,Interchange
356,467,550,Interchange
357,468,552,Interchange
358,469,553,Interchange
359,470,555,Interchange
360,471,556,Interchange
361,472,558,Interchange
362,473,560,Interchange
363,474,561,Interchange
364,475,563,Interchange
365,476,565,Interchange
366,477,566,Interchange
367,478,568,Interchange
368,479,570,Interchange
369,480,572,Interchange
370,481,573,Interchange
371,482,575,Interchange
372,483,576,Interchange
373,484,579,Interchange
374,485,580,Interchange
375,486,582,Interchange
376,487,583,Interchange
377,488,585,Interchange
378,489,586,Interchange
379,490,588,Interchange
380,491,590,Interchange
381,492,591,Interchange
382,493,593,Interchange
383,494,594,Interchange
384,495,596,Interchange
385,496,597,Interchange
386,497,600,Interchange
387,498,601,Interchange
388,499,603,Interchange
389,500,604,Interchange
390,501,606,Interchange
391,502,607,Interchange
392,503,609,Interchange
393,504,610,Interchange
394,505,612,Interchange
395,506,614,Interchange
396,507,615,Interchange
397,508,617,Interchange
398,509,619,Interchange
399,510,620,Interchange
400,511,622,Interchange
401,512,623,Interchange
402,513,625,Interchange
403,514,626,Interchange
404,515,629,Interchange
405,516,630,Interchange
406,517,631,Interchange
407,518,632,Interchange
408,519,633,Interchange
409,520,634,Interchange
410,521,635,Interchange
411,522,636,Interchange
412,523,637,Interchange
413,524,638,Interchange
414,525,639,Interchange
415,526,640,Interchange
416,527,641,Interchange
417,528,642,Interchange
418,529,643,Interchange
419,530,644,Interchange
420,531,645,Interchange
421,532,646,Interchange
422,533,649,Interchange
423,534,650,Interchange
424,535,655,Interchange
425,536,657,Interchange
426,537,661,Interchange
427,538,662,Interchange
428,539,664,Interchange
429,540,666,Interchange
430,541,667,Interchange
431,542,669,Interchange
432,543,670,Interchange
433,544,675,Interchange
434,545,676,Interchange
435,546,677,Interchange
436,547,685,Interchange
437,548,686,Interchange
