Init_node,Term_node,u_f,Capacity,Length(ft),k_j
396,395,75,4000,52049.69921875,480.0
397,355,75,8000,62400.69921875,960.0
396,397,75,2000,913.6900024414062,240.0
398,252,65,2000,118779.0,240.0
399,398,75,2000,39455.8984375,240.0
400,136,75,2000,80981.5,240.0
399,400,75,2000,2648.860107421875,240.0
401,88,65,8000,6162.080078125,960.0
402,401,65,2000,28355.30078125,240.0
403,243,60,2000,3782.0400390625,240.0
402,403,55,2000,23623.5,240.0
404,334,75,4000,11867.599609375,480.0
405,404,75,2000,10859.599609375,240.0
406,356,60,2000,61825.8984375,240.0
405,406,65,2000,8573.58984375,240.0
407,314,55,2000,21097.599609375,240.0
408,407,55,4000,6583.5498046875,480.0
409,314,75,4000,2098.6201171875,480.0
408,409,55,2000,20948.0,240.0
411,410,60,1000,18760.69921875,120.0
412,330,70,2000,109724.0,240.0
413,610,55,2000,260834.0,240.0
412,413,55,2000,1227.699951171875,240.0
414,555,70,2000,42177.0,240.0
415,414,55,2000,155313.0,240.0
416,17,55,3000,3622.5,360.0
417,416,75,4000,121440.0,480.0
418,590,75,2000,126930.0,240.0
417,418,55,3000,6630.2001953125,360.0
419,101,50,4000,73759.203125,480.0
419,105,55,4000,48002.0,480.0
420,294,70,2000,16287.2998046875,240.0
421,267,60,4000,70868.5,480.0
420,421,70,2000,2550.010009765625,240.0
422,335,70,4000,69808.0,480.0
423,422,55,4000,105513.0,480.0
424,339,75,4000,61718.5,480.0
425,424,55,2000,14288.400390625,240.0
425,239,40,3000,59317.6015625,360.0
426,460,70,2000,65011.19921875,240.0
427,426,55,2000,87211.5,240.0
427,428,70,2000,61539.3984375,240.0
429,161,75,2000,34213.8984375,240.0
430,161,75,2000,17416.30078125,240.0
429,430,75,2000,29364.099609375,240.0
431,371,70,2000,121382.0,240.0
432,431,70,2000,119655.0,240.0
433,155,55,2000,14073.900390625,240.0
432,433,55,2000,11560.099609375,240.0
434,498,75,4000,138116.0,480.0
435,434,55,2000,36554.8984375,240.0
436,500,70,2000,106712.0,240.0
435,436,55,2000,11148.5,240.0
437,123,70,2000,49539.69921875,240.0
438,437,75,2000,6310.31982421875,240.0
438,123,75,2000,45210.19921875,240.0
439,451,55,2000,32318.900390625,240.0
440,439,70,2000,58943.3984375,240.0
441,100,70,4000,14364.0,480.0
442,441,55,4000,24728.5,480.0
442,89,55,4000,68542.703125,480.0
443,122,50,4000,68902.3984375,480.0
443,120,75,4000,66476.703125,480.0
444,600,70,2000,145711.0,240.0
445,444,75,4000,65411.30078125,480.0
446,629,75,4000,74307.6015625,480.0
445,446,55,2000,92401.203125,240.0
447,234,65,4000,61444.5,480.0
448,447,55,4000,15678.599609375,480.0
449,641,60,4000,18826.80078125,480.0
448,449,35,4000,57578.80078125,480.0
450,439,55,2000,40341.6015625,240.0
